comments,Label
"b'Hi, my name is Allan, I am a man, I have money, a wonderful car, and a house. I have great muscles. Of course I am an athlete looking for a girl friend'",1
"b'On the first day of Wild Sex, the Conservative said to me: I am for that liberal horny, On the second day of Wild Sex the Conservative said to me: I need some liberal dick in my pussy!'",1
b'hai girls woman I am free who want Vedio call ping me have fun bb',1
b'Any aunty want video sex then inbox me',1
b'Girls inbox me for fun...',1
b'HEY I LOVE 4 play with a lot of good and wild hard sex 24 hours is good',1
b'I like 23 to 58 old lady if you want with me video calling sex then you message me',1
b'Koi Bhabhi or aunty hi kya Jo Mere Saath video calling par sex karna chahiye saree pregnancy secret',1
b'Xxxxx',1
"b""Hi babies let's do Skype video calling. I am wild here...""",1
b'sex me',1
b'Could you do cats in wild sex',1
b'Any girl \xf0\x9f\x91\xa7 need sex and me friend request',1
"b'Shatu call girl very hot, +8801682139315, +8801819042004'",1
b'Only girls write me for sex chat',1
b'I m hot sexy boy cam for fun +92 3016509401',1
b'any sexy girl sex with me',1
b'ilove sex',1
b'give me fuck',1
b'I want to open on sex',1
b'Any local wemen need company?',1
b'MERRYCHRISTMAS TO YOU COULD YOU SEND ME SOME WILD SEX IMAGES ?',1
b'Call wife 081350274942',1
b'sexy dikhaye',1
b'Xnxx com',1
b'xxx sxe vidoes',1
b'sexvideo',1
b'sexvideo',1
b'BIG ASS',1
b'Wwwsovxxx',1
b'Any 14 yers want sex with me talk private',1
b'I have videos sex come girls',1
b'Nike mnaj sex video.Com',1
b'I want a girl sex',1
b'ola ola sex sex',1
b'I like pure sex',1
b'jamkar chudai',1
b'7622985428 call or whtsapp for sex girl name priya',1
b'SEXJINGO',1
b'very hot sexy show',1
b'xxx vied',1
b'wild sex',1
b'Looks like i and my di.......',1
b'girls women add me for hot chat plz',1
b'I love making friends add me up',1
b'bengali Girl women Add me for pleasure',1
b'OMG fucking hilarious',1
b'Stupid',1
b'fuck yu fuck yu fucking yu',1
b'FUCK YOU',1
b'Wow sex',1
b'Sex',1
b'Sex chat? Add me',1
"b""my husband of 9 years left me just because i could not give him A child, i did all i could to make sure i give him a child, i even went to an extent of forcing him to have sex with me every night but could not work. not until one evening when i was browsing through the internet, i saw a comment on how a woman in same problem like mine was  made home by A man called lord amadi . i read about him and decided to contact him for help, i did as he ask me to do but i was still wondering how can someone just bring back my love he don't even know but i keep doing as he ask me to do. i was very surprise one morning my husband came and started begging me to come back to his life. at first i pretend to be angry then i accepted him back. lord amadi also cast a spell for me to make me have children and as i speak right now i am a mother with 3kids. if there is any one out there who needs his help you can contact him through his personal EMAIL: lordamadi@outlook.com.  phone: +2349066148726. i wish you good luck""",1
b'How do lions have sex',1
"b'Shatu call girl very hot, +8801682139315, +8801819042004'",1
"b'what is wild sex for human , please'",1
b'Fuck me',1
"b""my husband of 9 years left me just because i could not give him A child, i did all i could to make sure i give him a child, i even went to an extent of forcing him to have sex with me every night but could not work. not until one evening when i was browsing through the internet, i saw a comment on how a woman in same problem like mine was  made home by A man called lord amadi . i read about him and decided to contact him for help, i did as he ask me to do but i was still wondering how can someone just bring back my love he don't even know but i keep doing as he ask me to do. i was very surprise one morning my husband came and started begging me to come back to his life. at first i pretend to be angry then i accepted him back. lord amadi also cast a spell for me to make me have children and as i speak right now i am a mother with 3kids. if there is any one out there who needs his help you can contact him through his personal EMAIL: lordamadi@outlook.com.  phone: +2349066148726. i wish you good luck""",1
b'Dear im engi contractor \nfriends female laifepartner love sex lang l \nsms inbux call 03009255324 Karachi Pakistan',1
b'call me indian girls for wild s......x+917047924268 m online 24\xc3\x977',1
